Apu Nahasapeemapetilon,Thank you. Come again.
Milhouse Van Houten,"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?"
Homer Simpson,I hope I didn't brain my damage.
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Duffman,Oh Yeah!
Mayor Quimby,Can't we have one meeting that doesn't end with us digging up a corpse?
Moe Szyslak,"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff."
Comic Book Guy,"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world."
Otto,"Oh, wow, windows. I don't think I could afford this place."
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Ralph Wiggum,"Hi, Super Nintendo Chalmers!"
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Chief Wiggum,"Hey, I'm the chief here. Bake him away, toys."
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Troy McClure,Ahh! Sweet liquor eases the pain.
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Marge Simpson,"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it."
Rainier Wolfcastle,My eyes! The goggles do nothing!
Dr. Nick,Inflammable means flammable? What a country!
Groundskeeper Willie,"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!"
