Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Rainier Wolfcastle,My eyes! The goggles do nothing!
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Rainier Wolfcastle,My eyes! The goggles do nothing!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,"Oh, so they have Internet on computers now!"
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,"Oh, so they have Internet on computers now!"
Milhouse Van Houten,But my mom says I'm cool.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,"Oh, so they have Internet on computers now!"
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Homer Simpson,"Oh, so they have Internet on computers now!"
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Apu Nahasapeemapetilon,By chilling my loins I increase the chances of impregnating my wife.
Homer Simpson,Marriage is like a coffin and each kid is another nail.
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Apu Nahasapeemapetilon,By chilling my loins I increase the chances of impregnating my wife.
Troy McClure,Ahh! Sweet liquor eases the pain.
Homer Simpson,Marriage is like a coffin and each kid is another nail.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Homer Simpson,Marriage is like a coffin and each kid is another nail.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Duffman,Oh Yeah!
Homer Simpson,I can't even say the word 'titmouse' without gigggling like a schoolgirl.
Milhouse Van Houten,But my mom says I'm cool.
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
